image_id,image_url,questions
1180615398__72157601586287268,http://farm2.staticflickr.com/1014/1180615398_0fcec73a1a_o.jpg,How far have they travelled already?---How long have they been hiking?---How tired is he?---What mountain are they hiking?---Where is he hiking to?
29833580__687402,https://farm1.staticflickr.com/22/29833580_668d1a1129_o.jpg,Did Aunt Ann like the meal?---When did they finish eating?---How good was the food?---Is that your dining room?---Was this a tea party?
585654__14521,https://farm1.staticflickr.com/1/585654_1a75465017_o.jpg,Is it hard to dj?---What record is he playing?---What is the album being played?---What record is he playing?---Is this a professional DJ?
693001802__72157600599105135,https://farm2.staticflickr.com/1197/693001802_65180c3cac_o.jpg,How much snow is on the ground?---Is this a paved road?---What street is that?---Where does the road lead?---How slippery is the ice?
67342730__1453820,https://farm1.staticflickr.com/30/67342730_a8e8df8537_o.jpg,Did the Gators just win a game?---Do these football players get rewards for winning a game?---Were you on the football team?---Did they win?---Was this before or after the game?
5774360152__72157626837050446,https://farm3.staticflickr.com/2554/5774360152_a15c4268d5_o.jpg,What are they looking at?---What are they all reading?---What are they looking at?---What are they looking at?---Is that a man or woman with his back to us?
2588599948__72157605894171815,https://farm4.staticflickr.com/3067/2588599948_a6d7487207_o.jpg,Are these guys in class?---Who is the guy looking at the camera?---Is he going to lick his ear?---Are they in high school?---Are they brothers?
3851352836__72157622001375271,http://farm4.staticflickr.com/3437/3851352836_3e3d871b34_o.jpg,What is that squirrel doing?---Is this picture of one of the squirrel you feed in your backyard?---How fast can this squirrel climb a branch?---How awesome is this squirrel?---Is this squirrel on drugs?
30038602__673735,https://farm1.staticflickr.com/22/30038602_5eb95f159f_o.jpg,Where is this train located?---Is this train historic?---How old is that train?---Where is this train headed?---Where is the train headed?
6639393715__72157628726341439,https://farm8.staticflickr.com/7158/6639393715_039e4ea478_o.jpg,When was this taken?---What is this structure for?---What is that buidling?---What kind of building is that?---Who designed these buildings?
4055036__102267,https://farm1.staticflickr.com/3/4055036_df4b951685_o.jpg,Who won the game?---Who won the ping pong game?---Are they competing in professional table tennis?---Who won the ping pong game?---Who is winning?
186189574__72157594193720935,https://farm1.staticflickr.com/57/186189574_0a3e1f3ac6_o.jpg,Are they all related?---What is the relation of these people?---How long did Carme stay with you guys?---How do these three know each other?---Is that your Mother to the right?
537686__13244,https://farm1.staticflickr.com/1/537686_8bf47ec4f4_o.jpg,Why are there a bunch of statues?---Do the griffin statues represent something?---What is the significance of the winged lions?---Why are there many copies of the same statue lined up on pedestals?---Are these statues for a special event?
5248340452__72157625500403163,https://farm6.staticflickr.com/5001/5248340452_724028dcb8_o.jpg,What does that ship do?---How tall is that tower?---What ocean is this?---How tall is that tower?---How much oil does that produce yearly?
4464594421__72157623514925837,https://farm3.staticflickr.com/2798/4464594421_5daa31455f_o.jpg,What are they looking at?---Is this some kind of competition?---What are they trying to decide?---What are they studying?---What are they reading?
262619535__72157594316000599,https://farm1.staticflickr.com/115/262619535_0715b7c45b_o.jpg,What kind of vegetables are those?---Did you grow these squash yourself?---Is this squash?---What kind of food is that?---What recipe are these going into?
